name,date
Natalie,May 22
Claudia,Jul 24
Audra,Jan 17
Pascale,Jun 17
Kimberley,Jun 1
Ulla,Apr 27
Kimberly,May 27
Galvin,Apr 21
Katelyn,Apr 8
Blake,Jul 19
Solomon,Aug 28
Aidan,Jul 4
Blossom,Aug 21
Hakeem,Dec 30
Zenaida,Jul 21
Tanek,Nov 18
Tyrone,Jan 12
Inga,Mar 11
Vernon,Jul 4
Rose,Aug 20
Kane,Feb 5
Gloria,Aug 10
Elton,Feb 5
Doris,Aug 20
Jonas,Apr 29
Bo,Jan 31
Paula,Aug 12
Deacon,Jan 31
Maite,Jan 20
Marcia,Aug 29
Troy,Mar 30
Matthew,Jul 26
Berk,Sep 30
Erich,Aug 25
Lana,Mar 8
MacKensie,Jun 3
Tate,Oct 2
Indira,Jan 21
John,Oct 30
Ryan,Apr 21
Rashad,Nov 7
Cyrus,Feb 12
Tana,Dec 21
Isabelle,Aug 22
Nissim,Feb 28
Lyle,Jul 3
Gisela,Jul 5
Ulla,Apr 1
Leonard,Nov 1
Willow,Jun 2
Susan,Sep 25
Ivor,Aug 3
Phillip,Jan 27
Katell,Jan 4
Chaim,Feb 1
Armand,Jun 20
Kibo,Jun 8
Lunea,May 20
Sydney,Jun 29
Britanney,May 19
Jillian,Dec 10
Zelda,Sep 5
Allen,Sep 15
Megan,Jul 11
Lani,Feb 20
Suki,Aug 16
Aidan,Aug 5
Amber,Jun 23
Idola,Jun 21
Freya,Apr 29
Fuller,Apr 22
Lila,Aug 10
Vladimir,Feb 14
Karen,Feb 28
Jakeem,Jul 31
Walter,Jul 20
Maris,Mar 10
Kaitlin,Nov 16
Asher,Apr 12
Chandler,Jan 7
Melvin,Mar 3
Troy,Aug 23
Rhea,Nov 21
Tad,May 28
Chanda,Apr 16
Jeanette,Jul 5
Shelley,Mar 7
Jessica,Aug 30
Quinlan,Jul 5
Sean,Jun 19
Samuel,Sep 18
Scarlet,Aug 28
Graiden,Nov 12
Noble,Jun 4
Baker,Mar 22
Odessa,May 28
Ursa,Nov 3
Maxine,Nov 17
Herman,Jun 17
Wylie,Aug 28
Rigel,Oct 15
Alvin,Jan 9
Zia,Mar 23
Scarlett,Nov 11
Galena,Oct 15
Mark,Nov 9
Len,Jul 5
Lawrence,Feb 24
Kennan,Aug 4
Malik,May 18
Kirsten,Feb 7
Philip,Dec 28
Seth,Jan 7
Lila,May 1
Hope,Oct 8
Isaac,May 18
Shelby,May 10
Lesley,May 7
Nita,Jun 28
Sara,Jul 15
Maris,Feb 1
Andrew,Feb 6
Basil,Feb 10
Chandler,Feb 19
Moana,Nov 24
Glenna,Oct 2
Ethan,Feb 18
Dora,Jul 10
Aspen,Jul 29
Cora,Feb 14
Iliana,Dec 24
Jordan,Jul 15
Declan,Sep 7
Lee,Jan 6
Jaquelyn,Dec 30
Leah,Mar 9
Cullen,May 24
Louis,Jul 25
Jelani,Sep 27
Lionel,Sep 2
Vladimir,May 25
Walter,Jul 31
Ciaran,Dec 22
Eleanor,Aug 5
Jada,May 12
Davis,Feb 17
Ina,Mar 6
Rose,May 5
Howard,May 7
Buckminster,Sep 20
Dara,Oct 30
Damon,Apr 13
Virginia,Mar 27
Anika,Nov 22
Vivien,Apr 18
Talon,May 3
Fatima,Oct 9
Nicholas,Oct 27
Diana,Dec 19
Marsden,Dec 23
Nicole,Feb 19
Madaline,Dec 16
Jameson,May 22
Elijah,Jan 1
Elmo,Jan 27
Dorian,Nov 4
Isaac,Jun 3
Nola,Feb 16
Gillian,Jun 14
Kay,Jul 22
Wallace,Jun 17
Jocelyn,Mar 22
Ross,Sep 26
Slade,Nov 19
Britanney,Oct 26
Indigo,Jun 21
Gavin,Mar 1
Tucker,Nov 14
Zahir,Sep 10
Howard,Apr 19
Hammett,Jan 5
Joelle,Nov 20
Vivien,Jun 30
Sydney,Sep 19
Roanna,Sep 10
Damon,Jan 19
Robin,Feb 5
Adele,Oct 30
Evelyn,Jul 12
Guy,Jan 19
Vernon,Sep 3
Keefe,Mar 7
Imogene,Sep 26
Quinlan,Nov 2
Carly,Dec 16
Alexa,Feb 7
Quyn,Mar 24
Wylie,Apr 8
Nasim,Jul 7
Miranda,Nov 8
Pearl,May 6
Lev,Jun 15
Ray,Mar 23
Amelia,Nov 19
Maile,Dec 9
Piper,Nov 2
Cooper,Dec 9
Aidan,May 18
Kai,Mar 29
Anne,Oct 27
Aaron,Mar 8
Mikayla,Feb 26
Dean,Oct 29
Wang,Sep 25
Isaac,May 21
Christen,Nov 12
Samantha,Mar 16
Serena,Apr 7
Tashya,Feb 9
Julian,Jul 27
Abel,Mar 5
Aurelia,Jul 17
Eugenia,Mar 14
Davis,Apr 12
Tashya,Mar 12
Brynn,Aug 12
Odessa,Dec 10
Lawrence,Sep 20
Kimberly,Jul 6
Rebekah,Sep 3
Mary,May 3
Palmer,Sep 5
Evan,Sep 18
Basia,Sep 15
Jescie,Sep 13
Kiara,Oct 28
Lavinia,Feb 11
Amela,Dec 12
Avye,Jul 26
Haviva,May 29
Ralph,Feb 12
Carlos,Dec 30
Louis,Jan 10
Victor,Mar 2
Gavin,May 30
Larissa,Dec 4
Wing,Sep 4
Honorato,Jun 14
Theodore,Apr 16
Yasir,Apr 4
Kellie,Aug 1
Rana,Sep 23
Diana,Feb 8
Sylvia,Sep 18
Rowan,Dec 4
Darryl,Apr 11
Rylee,Apr 9
Gregory,Jul 22
Regan,Aug 12
Quinn,Aug 20
Chester,Apr 23
Mark,Nov 7
Ahmed,Jan 14
Olivia,Mar 21
Maisie,Nov 1
Aspen,Nov 17
Jamal,May 21
Steven,Sep 2
Dylan,Sep 29
Stephen,Apr 5
Charissa,Jan 13
Jasper,Jun 12
Destiny,Feb 5
Dana,Sep 12
Candace,Mar 25
Jasper,Apr 30
Colt,Nov 4
Patience,Jun 7
Lareina,May 15
Tanya,Jul 3
Hop,Sep 16
Jamalia,Sep 1
Karina,Jan 31
Farrah,Oct 26
Lacy,May 21
Zane,Feb 5
Brynn,Aug 28
Simon,Dec 6
Ferdinand,Feb 14
Armando,Aug 21
Quinlan,Mar 7
Ifeoma,Mar 3
Zena,Jul 11
Debra,May 5
Desirae,Jan 20
Demetrius,Jul 12
Gareth,Jan 10
Calista,Jul 19
Rina,May 23
Evan,Jul 24
Kylee,Aug 5
Doris,Apr 11
Denton,Jul 24
Trevor,Jul 30
George,Oct 14
John,Jun 21
Pamela,Dec 15
Hall,Jun 12
Yoshio,Jun 16
Beau,May 24
Nolan,May 14
Kiona,Feb 4
Amir,May 4
Chancellor,Sep 7
Fletcher,Mar 12
Beverly,Feb 10
Fiona,Jun 27
Julian,Apr 29
Ramona,Nov 27
Melodie,Aug 21
Wesley,Dec 12
Caesar,Dec 25
Leonard,Jun 8
Malachi,Aug 8
Steel,Apr 9
Camden,Jul 19
Dorothy,May 28
Tobias,Sep 15
Branden,Dec 19
Cooper,Jul 17
Jennifer,Mar 26
Macy,Oct 2
Melanie,Apr 15
Alexa,Jun 6
Velma,Oct 9
Yardley,Jun 1
Fletcher,Jul 15
Norman,Jun 15
Tatum,Jul 3
Roanna,Nov 14
Emery,Nov 2
Daryl,Nov 9
Xyla,Dec 14
Cyrus,Jan 22
Lillith,Apr 16
Brenden,Sep 25
Mira,Sep 5
Sasha,Oct 20
Regan,Dec 31
Alan,Oct 7
Lois,Jul 3
Maya,May 28
Garrett,Feb 28
George,Oct 30
Anne,Dec 27
Hammett,Apr 2
Signe,Aug 26
Sebastian,Feb 10
Aiko,Nov 30
Herrod,Jan 24
Sacha,Mar 11
Sybill,Apr 3
Idona,Dec 9
Connor,May 31
Branden,Apr 20
Lesley,Apr 8
Marshall,Jan 31
Colin,May 15
May,Sep 8
Stella,Aug 20
Chantale,Nov 1
Kathleen,Apr 12
Kylynn,Mar 17
Ashton,Jun 26
Gretchen,Apr 7
Theodore,May 19
Ivana,May 25
Linda,Mar 4
Valentine,Oct 29
Cally,May 24
Baxter,Oct 20
Alexander,Aug 9
Emily,Sep 8
Macy,Jan 17
Ishmael,Dec 18
Oliver,Apr 15
Bethany,Aug 26
Theodore,Sep 12
Vivian,Oct 13
Cleo,Jul 21
Ivor,Jul 3
Jasmine,Sep 10
Gretchen,Jun 14
Jasmine,Jan 19
Matthew,Dec 2
Madonna,May 29
Kiara,Apr 24
Roth,Nov 12
Brian,Jun 9
Nissim,Jan 26
Madison,Aug 3
Omar,Dec 2
Timon,May 21
Savannah,Feb 28
